# From University of Cambridge Statutes and Ordinances 2018 edition
# Chapter II Section 10 "Dates of Term and Full Term"
# Full Michaelmas starts on Tues Jan, ends Fri early Dec or late Nov
# Full Lent starts Tues Jan, ends Fri Mar
# Full Easter starts Tues Apr, ends Fri Jun
# Myear Mst Men Lst Len Est Een
2022 4 2 17 17 25 16
2023 3 1 16 15 23 14
2024 8 6 21 21 29 20
2025 7 5 20 20 28 19
2026 6 4 19 19 27 18
2027 5 3 18 17 25 16
2028 3 1 16 16 24 15
2029 2 30 15 15 23 14
